,Feature Name,Importance,Standard Deviation
616,Frame9_RING_FINGER_TIP_y,0.00043970203542342454,0.003443169888197202
617,Frame9_RING_FINGER_TIP_z,0.00021569029349655268,0.001774485583212197
618,Frame9_PINKY_MCP_x,7.73668869014151e-05,0.001172044482881961
619,Frame9_PINKY_MCP_y,0.00020160191990074483,0.0023341176609283174
620,Frame9_PINKY_MCP_z,0.000200911401401893,0.002359497212725908
621,Frame9_PINKY_PIP_x,0.00013787608648988355,0.0016351484451349867
622,Frame9_PINKY_PIP_y,0.00023393446624195847,0.002547614712692024
623,Frame9_PINKY_PIP_z,0.0001861102577394949,0.002855051806179647
624,Frame9_PINKY_DIP_x,0.00015770910430460414,0.0018931386483401068
625,Frame9_PINKY_DIP_y,0.00021653236506869564,0.0018363925430740803
626,Frame9_PINKY_DIP_z,0.0001568381005002419,0.0017720736464777466
627,Frame9_PINKY_TIP_x,9.415639488113706e-05,0.001452398858450394
628,Frame9_PINKY_TIP_y,0.0002567013865465852,0.0020990036676690462
629,Frame9_PINKY_TIP_z,0.00014272047553258555,0.0016035383473703203
630,Frame10_WRIST_x,0.0001919257785447664,0.001921058987928654
631,Frame10_WRIST_y,0.0002740422819109786,0.0026708162557157822
632,Frame10_WRIST_z,0.0,0.0
633,Frame10_THUMB_CMC_x,0.00018654127175784054,0.0028661240491751803
634,Frame10_THUMB_CMC_y,0.00046375071779109265,0.004040440082555016
635,Frame10_THUMB_CMC_z,7.185825587674497e-05,0.0010489896435550124
636,Frame10_THUMB_MCP_x,0.0002975213354581847,0.002890136564057489
637,Frame10_THUMB_MCP_y,0.0002595370713297464,0.0030496033577213063
638,Frame10_THUMB_MCP_z,0.00011304238993975726,0.0010704150434201602
639,Frame10_THUMB_IP_x,0.00022210458319612888,0.0019958477940730415
640,Frame10_THUMB_IP_y,0.000651324685127818,0.0053279520402858375
641,Frame10_THUMB_IP_z,6.727116694042882e-05,0.0010439402652847052
642,Frame10_THUMB_TIP_x,0.00031857959650304584,0.003082952305019312
643,Frame10_THUMB_TIP_y,0.0004938267297187004,0.00424084542642817
644,Frame10_THUMB_TIP_z,0.00011201244369618956,0.0012458893374872302
645,Frame10_INDEX_FINGER_MCP_x,0.00034258747086321034,0.0034303639469416246
646,Frame10_INDEX_FINGER_MCP_y,0.00035183721835989676,0.003645813172497293
647,Frame10_INDEX_FINGER_MCP_z,0.00014562151430291262,0.0016925832018734243
648,Frame10_INDEX_FINGER_PIP_x,0.0001201301846275244,0.001213743870408322
649,Frame10_INDEX_FINGER_PIP_y,0.0005270720309881039,0.00485107641043324
650,Frame10_INDEX_FINGER_PIP_z,9.38931041849342e-05,0.0011306921771088692
651,Frame10_INDEX_FINGER_DIP_x,0.00022608642788690133,0.002663813870447851
652,Frame10_INDEX_FINGER_DIP_y,0.00028297262104450666,0.003259328074566424
653,Frame10_INDEX_FINGER_DIP_z,6.503588100671305e-05,0.0009695610972541396
654,Frame10_INDEX_FINGER_TIP_x,0.0002612219315426623,0.002662916406999696
655,Frame10_INDEX_FINGER_TIP_y,0.0004049289788984118,0.003594650174102752
656,Frame10_INDEX_FINGER_TIP_z,0.00014672119126556154,0.0015694191629048021
657,Frame10_MIDDLE_FINGER_MCP_x,0.00021768151925584002,0.0025993501807332537
658,Frame10_MIDDLE_FINGER_MCP_y,0.00020570614242007635,0.0022132194155453783
659,Frame10_MIDDLE_FINGER_MCP_z,0.00012701704748488662,0.00151308279258458
660,Frame10_MIDDLE_FINGER_PIP_x,0.0004325002669170493,0.0037306947421359743
661,Frame10_MIDDLE_FINGER_PIP_y,0.00047446165704374073,0.004597963864501822
662,Frame10_MIDDLE_FINGER_PIP_z,9.11262855319709e-05,0.000912868033324346
663,Frame10_MIDDLE_FINGER_DIP_x,0.0003082623107974558,0.0030433299735585033
664,Frame10_MIDDLE_FINGER_DIP_y,0.0003215247562518181,0.003572573778659193
665,Frame10_MIDDLE_FINGER_DIP_z,0.00014935852196781453,0.002458193639310385
666,Frame10_MIDDLE_FINGER_TIP_x,0.0002540748323859078,0.0025921716624920485
667,Frame10_MIDDLE_FINGER_TIP_y,0.0007595489766410412,0.005837324183577279
668,Frame10_MIDDLE_FINGER_TIP_z,5.904399068677785e-05,0.0007042416892479645
669,Frame10_RING_FINGER_MCP_x,7.502566929941742e-05,0.0008965933037189721
670,Frame10_RING_FINGER_MCP_y,0.00037797364157067753,0.0034625813227165516
671,Frame10_RING_FINGER_MCP_z,9.061110707359301e-05,0.0012879253385158016
672,Frame10_RING_FINGER_PIP_x,0.00018135077646199725,0.0023931263469236194
673,Frame10_RING_FINGER_PIP_y,0.00030636330993907536,0.0028918362347951777
674,Frame10_RING_FINGER_PIP_z,0.00015551984476262537,0.0017942543732471416
675,Frame10_RING_FINGER_DIP_x,0.00028354977610888925,0.0029017343892194618
676,Frame10_RING_FINGER_DIP_y,0.0002844021425183427,0.0025508310039728302
677,Frame10_RING_FINGER_DIP_z,0.00011621144287143702,0.002136043229996125
678,Frame10_RING_FINGER_TIP_x,0.00013098554441364315,0.0015688504357097423
679,Frame10_RING_FINGER_TIP_y,0.000708051934215771,0.005568559024213043
680,Frame10_RING_FINGER_TIP_z,0.00011647324863233699,0.0013225728820703796
681,Frame10_PINKY_MCP_x,0.00012730790769352414,0.0016121850056800204
682,Frame10_PINKY_MCP_y,0.0003705597795452018,0.0032485879265809555
683,Frame10_PINKY_MCP_z,0.0003029081795351797,0.0029991395789394863
684,Frame10_PINKY_PIP_x,0.00013765688443845802,0.0018282519896414752
685,Frame10_PINKY_PIP_y,0.0002822414123478648,0.0028430772299946386
686,Frame10_PINKY_PIP_z,0.0002059435563889628,0.002402249568087421
687,Frame10_PINKY_DIP_x,0.0001342227381245258,0.0015886037846506178
688,Frame10_PINKY_DIP_y,0.0004865214653556851,0.003945085819704279
689,Frame10_PINKY_DIP_z,0.0001165685307509137,0.0013348605923260315
690,Frame10_PINKY_TIP_x,0.0002124333137551602,0.002266105657944173
691,Frame10_PINKY_TIP_y,0.00030517569273982934,0.0030790112450404875
692,Frame10_PINKY_TIP_z,0.00014080446924134133,0.0015292137490449565
693,Frame11_WRIST_x,0.00013461859162117583,0.0015669166806174546
694,Frame11_WRIST_y,0.00022189312205795,0.002695413469739501
695,Frame11_WRIST_z,0.0,0.0
696,Frame11_THUMB_CMC_x,9.063085302197851e-05,0.0010283869052805854
697,Frame11_THUMB_CMC_y,0.0004762327185876695,0.0044168672047568735
698,Frame11_THUMB_CMC_z,0.0001324045708840139,0.0015338051254567447
699,Frame11_THUMB_MCP_x,0.00025172942661891306,0.002539552117539341
700,Frame11_THUMB_MCP_y,0.00017871680096238397,0.0024470901667560324
701,Frame11_THUMB_MCP_z,4.890131580951882e-05,0.0005965894730418302
702,Frame11_THUMB_IP_x,0.0004984103368357592,0.0036943519764232992
703,Frame11_THUMB_IP_y,0.0005013845373576279,0.004371208193593141
704,Frame11_THUMB_IP_z,3.8801521495496204e-05,0.00064372951597723
705,Frame11_THUMB_TIP_x,0.0004255257877526992,0.0035473144099672786
706,Frame11_THUMB_TIP_y,0.00032780525295005426,0.0030787330664449374
707,Frame11_THUMB_TIP_z,8.833774177286456e-05,0.0012952508924321136
708,Frame11_INDEX_FINGER_MCP_x,0.0003295950514124937,0.0034064765496344337
709,Frame11_INDEX_FINGER_MCP_y,0.000385711013298666,0.0038409985029143824
710,Frame11_INDEX_FINGER_MCP_z,0.00010113581202813729,0.00138783616707946
711,Frame11_INDEX_FINGER_PIP_x,0.000325332573551457,0.0033166338969526114
712,Frame11_INDEX_FINGER_PIP_y,0.00034799276472217814,0.004068549003075193
713,Frame11_INDEX_FINGER_PIP_z,0.00014266291286717012,0.0014632985015830058
714,Frame11_INDEX_FINGER_DIP_x,0.00033789643190321634,0.003215373143010497
